gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000018507.17,Trpv2,118,116,390,747,1132,839
ENSMUSG00000018509.9,Cenpv,369,475,516,336,503,486
ENSMUSG00000018537.17,Pcgf2,50,101,225,139,167,161
ENSMUSG00000018541.11,Cwc25,266,196,975,345,545,307
ENSMUSG00000018543.9,Spmap1,1,5,9,3,5,8
ENSMUSG00000018547.9,Pip4k2b,314,268,1303,366,590,479
ENSMUSG00000018548.16,Trim37,1350,837,3363,1062,1860,1003
ENSMUSG00000018554.14,Ybx2,1,1,10,3,5,3
ENSMUSG00000018559.17,Ctdnep1,1032,1237,2989,1426,2293,1630
ENSMUSG00000018565.18,Elp5,1160,1241,2075,993,1292,1193
ENSMUSG00000018566.15,Slc2a4,478,299,1195,5,9,3
ENSMUSG00000018567.15,Gabarap,2349,3011,5101,3214,4243,3809
ENSMUSG00000018569.13,Cldn7,4,5,17,6,10,6
ENSMUSG00000018570.18,2810408A11Rik,20,17,62,53,115,49
ENSMUSG00000018572.11,Phf23,648,520,1832,816,1216,734
ENSMUSG00000018574.15,Acadvl,1565,1241,3324,2222,3349,2491
ENSMUSG00000018581.16,Dnah11,5,6,79,34,23,12
ENSMUSG00000018583.6,G3bp1,4356,3274,10840,3727,6143,4739
ENSMUSG00000018585.10,Atox1,884,1116,1140,831,1005,926
ENSMUSG00000018589.9,Glra2,0,0,0,0,0,0
ENSMUSG00000018593.14,Sparc,408,629,3691,1186,1959,1993
ENSMUSG00000018595.7,Glra4,0,0,0,0,0,0
ENSMUSG00000018599.6,Mief2,61,41,167,91,140,75
